Address_URL,Price,Address,Beds,Baths,Parking,Size,Type,Sold_by
https://www.domain.com.au/145-jeune-drive-acton-park-tas-7170-2020286512,"$1,700,000 ","145 Jeune Drive, 
ACTON PARK TAS 7170","5
Beds","3
Baths","5
Parking","10,040m² ",House,SOLD BY PRIVATE TREATY 20 OCT 2025
https://www.domain.com.au/3-16-little-street-albion-qld-4010-2020355385,"$820,000 ","3/16 Little Street, 
ALBION QLD 4010","2
Beds","1
Bath","1
Parking",,Apartment / Unit / Flat,SOLD BY PRIVATE TREATY 20 OCT 2025
https://www.domain.com.au/104-117-pier-street-altona-vic-3018-2020259306,"$651,000 ","104/117 PIER STREET, 
ALTONA VIC 3018","3
Beds","2
Baths","2
Parking",,Apartment / Unit / Flat,SOLD BY PRIVATE TREATY 20 OCT 2025
https://www.domain.com.au/38a-seventh-avenue-altona-north-vic-3025-2020119947,"$1,200,000 ","38A Seventh Avenue, 
ALTONA NORTH VIC 3025","3
Beds","2
Baths","2
Parking",298m² ,Townhouse,SOLD BY PRIVATE TREATY 20 OCT 2025
https://www.domain.com.au/123-picnic-road-ararat-vic-3377-2020277820,"$970,000 ","123 Picnic Road, 
ARARAT VIC 3377","5
Beds","3
Baths","6
Parking","4,008m² ",House,
https://www.domain.com.au/113-maxwells-avenue-ashcroft-nsw-2168-2020321404,"$1,050,000 ","113 Maxwells Avenue, 
ASHCROFT NSW 2168","3
Beds","2
Baths","1
Parking",601m² ,House,
https://www.domain.com.au/27-thirteenth-avenue-austral-nsw-2179-2020355671,"$1,045,620 ","27 Thirteenth Avenue, 
AUSTRAL NSW 2179","4
Beds","2
Baths","1
Parking",300m² ,House,SOLD BY PRIVATE TREATY 20 OCT 2025
https://www.domain.com.au/13-thirteenth-avenue-austral-nsw-2179-2020355769,"$1,077,300 ","13 Thirteenth Avenue, 
AUSTRAL NSW 2179","4
Beds","2
Baths","1
Parking",334m² ,House,SOLD BY PRIVATE TREATY 20 OCT 2025
https://www.domain.com.au/17-thirteenth-avenue-austral-nsw-2179-2020355767,"$1,059,525 ","17 Thirteenth Avenue, 
AUSTRAL NSW 2179","5
Beds","3
Baths","1
Parking",300m² ,House,SOLD BY PRIVATE TREATY 20 OCT 2025
https://www.domain.com.au/19-thirteenth-avenue-austral-nsw-2179-2020355726,"$1,060,420 ","19 Thirteenth Avenue, 
AUSTRAL NSW 2179","4
Beds","2
Baths","1
Parking",300m² ,House,SOLD BY PRIVATE TREATY 20 OCT 2025
